date,state,county,candidate,party,candidatevotes,totalvotes
11/5/2024,AK,Ketchikan_Gateway,Harris,democrat,2496,6501
11/5/2024,AK,Ketchikan_Gateway,Trump,republican,3738,6501
11/5/2024,AK,Ketchikan_Gateway,Kennedy,independent,124,6501
11/5/2024,AK,Prince_of_Wales-Hyder,Harris,democrat,1588,3491
11/5/2024,AK,Prince_of_Wales-Hyder,Trump,republican,1735,3491
11/5/2024,AK,Prince_of_Wales-Hyder,Kennedy,independent,94,3491
11/5/2024,AK,Sitka,Harris,democrat,2057,3895
11/5/2024,AK,Sitka,Trump,republican,1659,3895
11/5/2024,AK,Sitka,Kennedy,independent,82,3895
11/5/2024,AK,Petersburg,Harris,democrat,640,1698
11/5/2024,AK,Petersburg,Trump,republican,970,1698
11/5/2024,AK,Petersburg,Kennedy,independent,34,1698
11/5/2024,AK,Wrangell,Harris,democrat,359,1136
11/5/2024,AK,Wrangell,Trump,republican,745,1136
11/5/2024,AK,Wrangell,Kennedy,independent,17,1136
11/5/2024,AK,Hoonah_Angoon,Harris,democrat,876,1515
11/5/2024,AK,Hoonah_Angoon,Trump,republican,548,1515
11/5/2024,AK,Hoonah_Angoon,Kennedy,independent,44,1515
11/5/2024,AK,Juneau,Harris,democrat,10305,16977
11/5/2024,AK,Juneau,Trump,republican,5942,16977
11/5/2024,AK,Juneau,Kennedy,independent,272,16977
11/5/2024,AK,Valdez-Cordova,Harris,democrat,1605,4616
11/5/2024,AK,Valdez-Cordova,Trump,republican,2802,4616
11/5/2024,AK,Valdez-Cordova,Kennedy,independent,84,4616
11/5/2024,AK,Haines,Harris,democrat,908,1794
11/5/2024,AK,Haines,Trump,republican,791,1794
11/5/2024,AK,Haines,Kennedy,independent,23,1794
11/5/2024,AK,Skagway,Harris,democrat,717,1034
11/5/2024,AK,Skagway,Trump,republican,265,1034
11/5/2024,AK,Skagway,Kennedy,independent,17,1034
11/5/2024,AK,Yakutat,Harris,democrat,271,471
11/5/2024,AK,Yakutat,Trump,republican,179,471
11/5/2024,AK,Yakutat,Kennedy,independent,17,471
11/5/2024,AK,Yukon-Koyukuk,Harris,democrat,1386,2377
11/5/2024,AK,Yukon-Koyukuk,Trump,republican,851,2377
